class,shLA,elLA,shRA,elRA
Pose 1,23.01599205,170.5658341,25.90718499,175.1603618
Pose 1,22.60592839,169.5846512,24.85957082,174.4121684
Pose 1,22.42957068,169.0713274,24.44374084,174.0464137
Pose 1,22.25398133,168.6025843,24.1631691,173.877651
Pose 1,22.14755218,168.2666532,23.84795144,173.7215531
Pose 1,22.02502171,167.9988691,23.57238391,173.5325484
Pose 1,21.97779105,167.9218701,23.51426728,173.5339704
Pose 1,21.90935357,167.7713491,23.41989444,173.4894047
Pose 1,21.78863267,167.5629131,23.33790034,173.5247636
Pose 1,21.78706845,167.4248531,23.161832,173.5687605
Pose 1,21.71778443,167.2308941,23.05019277,173.5504134
Pose 1,21.67985681,167.1761822,23.03775061,173.5586138
Pose 1,21.69430847,167.0584139,22.96615722,173.5911538
Pose 1,21.71924815,166.9738814,22.93989288,173.6007372
Pose 1,21.65470541,166.8208449,22.86607433,173.6213523
Pose 1,21.64339052,166.7902775,22.81948285,173.5689662
Pose 1,21.6353095,166.7340628,22.80714314,173.5602875
Pose 1,21.55756351,166.6240202,22.78579593,173.5399073
Pose 1,21.58361617,166.561016,22.77629661,173.4731931
Pose 1,21.564123,166.5325979,22.78702955,173.4698381
Pose 1,21.56650021,166.5239337,22.75772794,173.3884216
Pose 1,21.56305461,166.4681643,22.75667225,173.438539
Pose 1,21.54492573,166.4656397,22.8039991,173.4069922
Pose 1,21.54510636,166.4841698,22.83690084,173.3772287
Pose 1,21.49972564,166.3656284,22.81100448,173.3036279
Pose 1,21.45338024,166.3440316,22.81447294,173.1153444
Pose 1,21.29406059,166.2612692,22.78003371,172.9139083
Pose 1,21.24791814,166.2897261,22.85370135,172.9165926
Pose 1,21.26982304,166.4371524,22.98345021,172.9984499
Pose 1,21.24927671,166.3814702,22.99517327,172.9908123
Pose 1,21.27887147,166.2248567,23.01650589,173.0124304
Pose 1,21.29176357,166.1010568,23.02528944,173.0139268
Pose 1,21.28333309,166.1255175,23.03731287,173.0796567
Pose 1,21.51194666,166.8140288,23.06390905,172.9486798
Pose 1,21.62353389,167.0536437,23.00979705,172.7906647
Pose 1,21.52904312,167.0768378,23.03071257,172.7863505
Pose 1,21.60474862,167.2174244,23.10002921,172.7739543
Pose 1,21.71088222,167.4726541,23.19452345,172.907506
Pose 1,21.65363947,167.3320798,23.22446339,172.8889185
Pose 1,21.62278267,167.3815055,23.22473404,172.9757571
Pose 1,21.65167992,167.3474215,23.2877205,173.1447764
